ticker,total_investment,quantity,total_value,total_pnl
OP-USD,91600,44372709.53072511,69510423.76542722,69418823.76542722
SHPING-USD,176800,2899701899.596663,16162434.931520408,15985634.931520408
APE-USD,143100,16295047.227356791,11964169.455496054,11821069.455496054
SOL-USD,161900,28023.42370534465,3844173.5243964237,3682273.5243964237
LCX-USD,174800,28046602.306312844,3663288.458044953,3488488.458044953
FET-USD,182700,1947967.13420079,2740835.862869966,2558135.862869966
ABT-USD,182700,1410582.7685884484,2450353.938710956,2267653.938710956
DOGE-USD,182700,20215706.503168263,2132027.543686872,1949327.5436868719
TRAC-USD,182700,2951973.9888279797,1646731.074875767,1464031.074875767
MATIC-USD,182700,3101196.4586790265,1173622.310450473,990922.3104504731
AVT-USD,178300,553052.8356448704,1166764.9990938026,988464.9990938026
AIOZ-USD,126200,2491583.309046412,1016397.1152820853,890197.1152820853
XYO-USD,182700,198808549.59522825,876771.6357978922,694071.6357978922
PRO-USD,182700,817181.0849345017,857986.4242323064,675286.4242323064
TRB-USD,176200,12300.325309660842,796519.168303532,620319.168303532
NCT-USD,182700,44364550.84879264,736057.5269263077,553357.5269263077
QNT-USD,182700,9791.174755593507,728124.6489224675,545424.6489224675
INJ-USD,142500,33861.47029600702,665453.7019279451,522953.70192794513
RPL-USD,182700,67959.95250677448,697788.7881742066,515088.7881742066
OCEAN-USD,182700,1135325.5281313858,691231.0403625818,508531.04036258184
TIME-USD,182700,41386.414179326464,675605.3778256956,492905.37782569556
ETH-USD,182700,278.1016550404079,672575.0019492039,489875.0019492039
ANKR-USD,182700,22685173.56449763,575414.8494300547,392714.84943005466
LPT-USD,182700,45321.27558609883,566358.5744835908,383658.5744835908
BTC-USD,182700,9.039408706095745,542434.4365424559,359734.4365424559
WBTC-USD,182700,9.03195427472781,541217.5269948768,358517.5269948768
IOTX-USD,182700,15076872.848287862,534500.9834696088,351800.9834696088
XCN-USD,182700,874787618.2863731,524970.7174721492,342270.7174721492
PNG-USD,123700,1776496.6867280356,454065.04469068075,330365.04469068075
MSOL-USD,106900,2546.084296390428,425117.910968815,318217.910968815
GNO-USD,182700,3186.077586358891,490936.1204966903,308236.1204966903
REQ-USD,182700,4493154.206195241,467074.06461012334,284374.06461012334
COTI-USD,182700,3987875.9987800405,450531.8115981325,267831.8115981325
SWFTC-USD,182700,123583489.52269891,417376.9927381504,234676.9927381504
DEXT-USD,151900,827388.8066082476,384397.8833203995,232497.8833203995
MANA-USD,182700,1431144.585243737,393531.16014365165,210831.16014365165
GLM-USD,182700,1387544.8398041148,390840.84310908266,208140.84310908266
