ticker,total_investment,quantity,total_value,total_pnl
SEZL,25300,958.4390141111653,143765.8521166748,118465.8521166748
MPTI,49000,2964.404698460341,100760.12067632185,51760.12067632185
CAVA,31300,612.6431694936609,77511.61174773554,46211.611747735544
SN,28400,540.0050464679865,54950.91468215754,26550.91468215754
STRW,39300,5196.88033077375,63557.84406641994,24257.844066419937
FG,45400,1659.5107225537724,67940.36670236028,22540.366702360276
SKWD,41900,1502.1949740616549,59366.74606256689,17466.74606256689
ARM,25200,284.59231971880365,40412.10940007012,15212.10940007012
ATMU,32700,1321.0546620379728,46950.28389829122,14250.283898291222
BOF,31300,20733.116172400667,44783.53271192308,13483.532711923079
DBD,27400,956.2300951476077,40668.46477935469,13268.46477935469
KNF,32100,529.857447574045,43903.988429384684,11803.988429384684
VTS,42200,2067.5999620405664,50862.959854924724,8662.959854924724
HSHP,36600,5926.367408606757,45218.18400588848,8618.184005888477
CART,24900,835.1303377977124,30440.5014498805,5540.501449880499
HG,21000,1357.5555686951066,25250.534095595332,4250.5340955953325
ATAT,46100,2468.697596073546,50237.99702183005,4137.997021830051
NBBK,17800,1183.3112313129163,21299.602163632495,3499.602163632495
LOAR,9800,167.6873946902025,13202.029146875091,3402.029146875091
KSPI,16500,145.9568052456089,18324.87734401102,1824.8773440110199
ULS,10700,254.78072850071172,12458.778012449342,1758.778012449342
YIBO,16100,6974.268954181642,17784.385500604127,1684.3855006041267
QMMM,4000,877.6272251363537,5213.105767528174,1213.1057675281736
RDDT,12100,219.1936734712802,13070.51898321654,970.5189832165397
WS,19600,626.341619998288,20506.425690037562,906.4256900375622
CDTG,10200,2883.0109292307343,10638.310493828618,438.31049382861784
STHO,36900,2790.36993796223,37195.63106014819,295.63106014818914
OS,3700,130.2409922767344,3808.2465843619166,108.24658436191658
MAMO,11500,3057.9797033933055,11467.423887724895,-32.576112275104606
RITR,1400,278.6840860443996,1351.6177907379524,-48.38220926204758
TXO,41000,2220.146977292151,40872.90551318096,-127.09448681904178
HDL,8200,486.9509589412648,7464.9581634181795,-735.0418365818205
BIRK,23300,484.1284776544412,22269.909972104295,-1030.0900278957051
CHSN,36700,19845.96801851478,35226.592759698986,-1473.407240301014
ICG,37700,4757.808418146261,36016.61054209914,-1683.389457900863
ODD,29200,770.0708270804623,27260.508453683196,-1939.4915463168036
ALAB,12300,217.6835418191261,9107.879422928108,-3192.1205770718916
NXT,40100,973.8599720452958,35331.63859700942,-4768.36140299058
ELWS,28800,10152.900822636358,21625.679914122735,-7174.320085877265
GMM,23400,16279.299556102167,14651.369212363203,-8748.630787636797
ZKH,18700,2749.8421748734827,8167.031338047859,-10532.968661952142
WBUY,22700,75171.6708410664,8644.742303542962,-14055.257696457038
SNAL,46200,38572.660690913566,31629.581490655957,-14570.418509344043
LQR,27600,19678.831527068105,12122.160154988765,-15477.839845011235
HSAI,40100,5854.986539782156,22541.69761978627,-17558.30238021373
SRFM,28600,6994.478302941314,10491.71745441197,-18108.28254558803
QSG,41200,12636.192384889433,20976.078937138034,-20223.921062861966
CISS,31500,8917.516835444942,10879.370794375032,-20620.629205624966
WLDS,50400,90856.83655639153,28529.047631833088,-21870.952368166912
TRNR,34700,10736.904234962647,3489.493748368988,-31210.506251631014
