"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AADI","Aadi Bioscience Inc","Healthcare","Biotechnology","USA",53.48,,2.17,0.00%,166
2,"AAL","American Airlines Group Inc","Industrials","Airlines","USA",9226.12,43.60,14.04,0.93%,267689
3,"AAP","Advance Auto Parts Inc","Consumer Cyclical","Specialty Retail","USA",2383.39,3443.10,39.94,0.08%,4748
4,"AAT","American Assets Trust Inc","Real Estate","REIT - Diversified","USA",1669.92,28.36,27.42,0.00%,0
5,"ABG","Asbury Automotive Group Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",5067.47,14.63,258.71,0.02%,26
6,"ABM","ABM Industries Inc","Industrials","Specialty Business Services","USA",3603.59,23.67,57.39,0.00%,208
7,"ABNB","Airbnb Inc","Consumer Cyclical","Travel Services","USA",84959.93,47.06,133.99,0.59%,20288
8,"ABR","Arbor Realty Trust Inc","Real Estate","REIT - Mortgage","USA",2959.28,12.10,15.69,1.23%,8446
9,"ABVC","ABVC BioPharma Inc","Healthcare","Biotechnology","USA",6.46,,0.52,0.00%,0
10,"ACB","Aurora Cannabis Inc","Healthcare","Drug Manufacturers - Specialty & Generic","Canada",366.99,,4.80,1.48%,13887
11,"ACDC","ProFrac Holding Corp","Energy","Oil & Gas Equipment & Services","USA",1185.08,,7.40,2.21%,13
12,"ACHL","Achilles Therapeutics Plc ADR","Healthcare","Biotechnology","United Kingdom",41.50,,1.01,0.00%,0
13,"ACRE","Ares Commercial Real Estate Corp","Real Estate","REIT - Mortgage","USA",381.25,,6.99,0.00%,363
14,"ACRS","Aclaris Therapeutics Inc","Healthcare","Diagnostics & Research","USA",182.86,,2.56,0.00%,1300
15,"ACV","Virtus Diversified Income & Convertible Fund","Financial","Closed-End Fund - Equity","USA",228.44,12.23,22.02,0.00%,0
16,"ADM","Archer Daniels Midland Co","Consumer Defensive","Farm Products","USA",24687.95,10.35,51.63,0.39%,2274
17,"ADN","Advent Technologies Holdings Inc","Utilities","Utilities - Renewable","USA",19.38,,7.35,4.85%,6260
18,"ADNT","Adient plc","Consumer Cyclical","Auto Parts","USA",1821.40,91.10,20.89,0.00%,3
19,"ADP","Automatic Data Processing Inc","Technology","Software - Application","USA",125028.16,32.78,306.85,-0.34%,270
20,"ADSE","Ads-Tec Energy Plc","Industrials","Electrical Equipment & Parts","Ireland",688.45,,13.61,0.81%,100
21,"AE","Adams Resources & Energy Inc","Energy","Oil & Gas Refining & Marketing","USA",96.16,,37.45,1.08%,187
22,"AEMD","Aethlon Medical Inc","Healthcare","Medical Devices","USA",5.49,,0.39,0.00%,7460
23,"AEO","American Eagle Outfitters Inc","Consumer Cyclical","Apparel Retail","USA",3476.35,14.52,18.10,0.89%,2389
24,"AEP","American Electric Power Company Inc","Utilities","Utilities - Regulated Electric","USA",49358.15,18.61,92.68,-0.30%,755
25,"AFG","American Financial Group Inc","Financial","Insurance - Property & Casualty","USA",12085.27,13.49,143.99,0.34%,402
26,"AFL","Aflac Inc","Financial","Insurance - Life","USA",61469.22,16.66,110.65,0.00%,15
27,"AGEN","Agenus Inc","Healthcare","Biotechnology","USA",67.52,,3.13,0.81%,31062
28,"AGL","Agilon Health Inc","Healthcare","Medical Care Facilities","USA",778.71,,1.89,1.07%,6774
29,"AGS","PlayAGS Inc","Consumer Cyclical","Gambling","USA",475.98,63.38,11.63,0.00%,0
30,"AHT","Ashford Hospitality Trust Inc","Real Estate","REIT - Hotel & Motel","USA",58.47,,10.71,0.09%,160
31,"AI","C3.ai Inc","Technology","Software - Application","USA",3554.44,,27.98,0.69%,66333
32,"AIFU","AIX Inc. ADR","Financial","Insurance Brokers","China",66.35,1.62,1.17,-0.43%,1055
33,"AIRS","Airsculpt Technologies Inc","Healthcare","Medical Care Facilities","USA",461.90,,7.98,0.00%,0
34,"ALGT","Allegiant Travel","Industrials","Airlines","USA",1378.18,,75.13,0.79%,5841
35,"ALLE","Allegion plc","Industrials","Security & Protection Services","Ireland",12332.66,21.79,141.87,0.00%,18
36,"ALLK","Allakos Inc","Healthcare","Biotechnology","USA",122.40,,1.37,0.00%,0
37,"ALSN","Allison Transmission Holdings Inc","Consumer Cyclical","Auto Parts","USA",10282.13,14.46,118.70,0.20%,604
38,"ALTM","Arcadium Lithium PLC","Basic Materials","Specialty Chemicals","Ireland",5700.84,38.24,5.30,0.00%,13491
39,"ALTR","Altair Engineering Inc","Technology","Software - Infrastructure","USA",8859.12,276.82,104.00,0.00%,11
40,"AM","Antero Midstream Corp","Energy","Oil & Gas Midstream","USA",7422.01,19.18,15.42,0.06%,242
41,"AMCR","Amcor Plc","Consumer Cyclical","Packaging & Containers","United Kingdom",14814.34,19.32,10.25,0.59%,771
42,"AMED","Amedisys Inc","Healthcare","Medical Care Facilities","USA",2980.35,36.23,91.00,0.00%,0
43,"AMPL","Amplitude Inc","Technology","Software - Application","USA",1405.13,,11.00,4.76%,1108
44,"AMTX","Aemetis Inc","Energy","Oil & Gas Refining & Marketing","USA",216.16,,4.58,-0.87%,7836
45,"AMWL","American Well Corporation","Healthcare","Health Information Services","USA",148.45,,9.69,9.49%,130
46,"ANSS","Ansys Inc","Technology","Software - Application","USA",30607.48,54.05,350.00,1.60%,38
47,"ANTX","AN2 Therapeutics Inc","Healthcare","Biotechnology","USA",31.44,,1.05,-0.60%,5198
48,"AON","Aon plc","Financial","Insurance Brokers","Ireland",82659.13,32.27,382.21,-0.38%,65
49,"AOS","A.O. Smith Corp","Industrials","Specialty Industrial Machinery","USA",10725.54,19.40,73.54,0.55%,919
50,"AP","Ampco-Pittsburgh Corp","Industrials","Metal Fabrication","USA",37.78,,1.88,-0.01%,15
51,"APA","APA Corporation","Energy","Oil & Gas E&P","USA",8124.04,3.11,21.96,0.41%,20296
52,"APAM","Artisan Partners Asset Management Inc","Financial","Asset Management","USA",3767.33,13.33,46.88,0.00%,4
53,"APDN","Applied Dna Sciences Inc","Healthcare","Diagnostics & Research","USA",9.18,,0.18,-2.78%,196081
54,"API","Agora Inc ADR","Technology","Software - Application","China",323.08,,4.43,9.38%,64367
55,"APPN","Appian Corp","Technology","Software - Infrastructure","USA",2952.60,,39.96,0.00%,0
56,"AQB","AquaBounty Technologies Inc","Consumer Defensive","Farm Products","USA",4.14,,1.07,1.90%,857
57,"AQN","Algonquin Power & Utilities Corp","Utilities","Utilities - Renewable","Canada",5109.88,,4.76,0.00%,1302
58,"ARBK","Argo Blockchain Plc ADR","Financial","Capital Markets","United Kingdom",85.47,,1.34,-0.74%,49539
59,"ARDC","Ares Dynamic Credit Allocation Fund Inc","Financial","Closed-End Fund - Debt","USA",342.81,6.45,14.96,0.00%,0
60,"ARI","Apollo Commercial Real Estate Finance Inc","Real Estate","REIT - Mortgage","USA",1254.63,,9.08,0.00%,113
61,"AROW","Arrow Financial Corp","Financial","Banks - Regional","USA",564.61,17.22,33.73,0.00%,101
62,"ARR","ARMOUR Residential REIT Inc","Real Estate","REIT - Mortgage","USA",1069.98,8.13,19.19,0.94%,16580
63,"ARW","Arrow Electronics Inc","Technology","Electronics & Computer Distribution","USA",6126.78,13.02,116.50,0.24%,360
64,"ASAN","Asana Inc","Technology","Software - Application","USA",3288.05,,14.41,0.49%,4195
65,"ASB","Associated Banc-Corp","Financial","Banks - Regional","USA",4171.61,23.17,27.58,0.00%,0
66,"ASGN","ASGN Inc","Technology","Information Technology Services","USA",4334.70,24.82,98.07,0.71%,7
67,"ATHA","Athira Pharma Inc","Healthcare","Biotechnology","USA",29.39,,0.76,-5.00%,22087
68,"ATIP","ATI Physical Therapy Inc","Healthcare","Medical Care Facilities","USA",10.81,,2.45,0.00%,0
69,"ATSG","Air Transport Services Group Inc","Industrials","Airlines","USA",1447.38,,22.01,0.00%,1598
70,"ATUS","Altice USA Inc","Communication Services","Telecom Services","USA",1272.88,,2.76,-1.08%,1648
71,"AUDC","Audiocodes","Technology","Communication Equipment","Israel",253.49,21.32,8.46,0.00%,0
72,"AUR","Aurora Innovation Inc","Technology","Information Technology Services","USA",9193.74,,5.35,-0.92%,16207
73,"AVA","Avista Corp","Utilities","Utilities - Diversified","USA",2983.61,14.97,37.68,0.00%,0
74,"AVAH","Aveanna Healthcare Holdings Inc","Healthcare","Medical Care Facilities","USA",1120.71,,5.80,0.00%,0
75,"AVAL","Grupo Aval Acciones y Valores S.A. ADR","Financial","Banks - Regional","Colombia",753.68,20.22,2.00,0.00%,1098
76,"AVNS","Avanos Medical Inc","Healthcare","Medical Devices","USA",914.54,59.00,19.90,0.00%,0
77,"AVT","Avnet Inc","Technology","Electronics & Computer Distribution","USA",4752.19,14.29,54.66,1.22%,148
78,"AVTE","Aerovate Therapeutics Inc","Healthcare","Biotechnology","USA",75.92,,2.63,-1.13%,865
79,"AWK","American Water Works Co. Inc","Utilities","Utilities - Regulated Water","USA",25786.41,26.25,132.31,-0.09%,349
80,"AXL","American Axle & Manufacturing Holdings Inc","Consumer Cyclical","Auto Parts","USA",768.98,27.63,6.54,0.00%,0
81,"AXNX","Axonics Inc","Healthcare","Medical Devices","USA",3602.68,,70.49,0.00%,0
82,"AXP","American Express Co","Financial","Credit Services","USA",204359.46,21.34,290.10,0.55%,2093
83,"AY","Atlantica Sustainable Infrastructure Plc","Utilities","Utilities - Renewable","United Kingdom",2567.12,66.37,22.10,0.00%,1
84,"AZTA","Azenta Inc","Healthcare","Medical Instruments & Supplies","USA",2264.79,,46.30,0.67%,9
85,"AZUL","Azul S.A. ADR","Industrials","Airlines","Brazil",303.70,,2.72,-0.02%,3781
86,"B","Barnes Group Inc","Industrials","Specialty Industrial Machinery","USA",2384.50,,46.81,0.34%,1412
87,"BALY","Ballys Corporation","Consumer Cyclical","Resorts & Casinos","USA",723.87,,17.80,0.00%,0
88,"BAM","Brookfield Asset Management Ltd","Financial","Asset Management","Canada",33299.04,51.76,56.92,0.00%,2167
89,"BAND","Bandwidth Inc","Technology","Software - Infrastructure","USA",531.50,,19.32,0.00%,0
90,"BANF","Bancfirst Corp","Financial","Banks - Regional","USA",4181.86,20.28,126.23,0.00%,7
91,"BATL","Battalion Oil Corp","Energy","Oil & Gas E&P","USA",109.93,,6.68,-0.45%,15
92,"BAX","Baxter International Inc","Healthcare","Medical Instruments & Supplies","USA",17340.94,148.23,33.99,0.47%,79
93,"BBAR","BBVA Argentina ADR","Financial","Banks - Regional","Argentina",3190.23,8.31,15.62,-0.89%,619
94,"BCE","BCE Inc","Communication Services","Telecom Services","Canada",35328.59,395.16,27.78,0.33%,2874
95,"BDJ","BlackRock Enhanced Equity Dividend Trust","Financial","Closed-End Fund - Equity","USA",1639.85,8.55,8.81,0.00%,47
96,"BDN","Brandywine Realty Trust","Real Estate","REIT - Office","USA",904.01,,5.22,0.00%,0
97,"BEDU","Bright Scholar Education Holdings Ltd ADR","Consumer Defensive","Education & Training Services","China",14.88,,1.90,0.00%,0
98,"BERY","Berry Global Group Inc","Consumer Cyclical","Packaging & Containers","USA",7811.28,14.50,67.89,0.00%,0
99,"BF-A","Brown-Forman Corp","Consumer Defensive","Beverages - Wineries & Distilleries","USA",19089.85,19.20,39.90,0.00%,0
100,"BF-B","Brown-Forman Corp","Consumer Defensive","Beverages - Wineries & Distilleries","USA",19089.85,19.57,40.66,0.00%,24
101,"BFAM","Bright Horizons Family Solutions, Inc","Consumer Cyclical","Personal Services","USA",6371.64,54.83,109.51,-1.86%,34
102,"BFC","Bank First Corp","Financial","Banks - Regional","USA",1065.76,13.09,106.43,0.00%,156
103,"BFH","Bread Financial Holdings Inc","Financial","Credit Services","USA",2913.30,9.37,58.60,-0.07%,14
104,"BGFV","Big 5 Sporting Goods Corp","Consumer Cyclical","Specialty Retail","USA",40.41,,1.78,-1.11%,1887
105,"BGH","Barings Global Short Duration High Yield Fund","Financial","Closed-End Fund - Debt","USA",308.79,6.21,15.39,0.00%,0
106,"BH","Biglari Holdings Inc","Consumer Cyclical","Restaurants","USA",573.49,11.25,185.48,0.00%,0
107,"BHB","Bar Harbor Bankshares Inc","Financial","Banks - Regional","USA",553.31,13.03,36.24,0.00%,0
