"Ticker","IPO Date"
"ARM",9/14/2023
"KSPI",1/19/2024
"SN",7/31/2023
"CAVA",6/15/2023
"RDDT",3/21/2024
"ULS",4/12/2024
"CART",9/19/2023
"BIRK",10/11/2023
"LOAR",4/25/2024
"OS",7/24/2024
"ALAB",3/20/2024
"NXT",2/9/2023
"FG",11/22/2022
"KNF",5/25/2023
"ATMU",5/26/2023
"ATAT",11/11/2022
"ODD",7/19/2023
"HG",11/10/2023
"WS",11/28/2023
"DBD",8/14/2023
"SKWD",1/13/2023
"HDL",5/17/2024
"SEZL",8/17/2023
"NBBK",12/28/2023
"VTS",1/10/2023
"TXO",1/27/2023
"ZKH",12/15/2023
"HSHP",10/25/2022
"RITR",8/26/2024
"ICG",3/16/2023
"STHO",3/28/2023
"MAMO",4/2/2024
"YIBO",1/25/2024
"HSAI",2/9/2023
"QMMM",7/19/2024
"MPTI",10/3/2022
"STRW",9/21/2022
"QSG",1/25/2023
"CDTG",4/18/2024
"SNAL",11/10/2022
"GMM",10/10/2023
"CHSN",3/30/2023
"SRFM",7/27/2023
"BOF",6/16/2023
"CISS",6/14/2023
"WBUY",10/19/2023
"ELWS",7/25/2023
"WLDS",9/13/2022
"LQR",8/10/2023
"TRNR",4/28/2023
