ticker,total_investment,quantity,total_value,total_pnl
CHRD,125800,61644.509415110384,8237556.094139782,8111756.094139782
SMCI,125800,2697.6422688606713,1194866.6703883351,1069066.6703883351
DTST,125800,304931.59943610255,1149592.124057998,1023792.124057998
MOD,125800,10068.679283094523,1133733.271912858,1007933.2719128579
LMB,125800,15324.893572117719,1106763.8324854872,980963.8324854872
VIST,125800,20839.534168308757,978624.5054646159,852824.5054646159
NVDA,125800,8202.725755431256,976206.4096767865,850406.4096767865
FTAI,125800,6559.397116259897,805887.5337072293,680087.5337072293
ESEA,125800,18104.01275855733,801283.574306763,675483.574306763
CEIX,125800,8300.38077262236,788536.1733991243,662736.1733991243
ESOA,125800,74936.85204026464,779343.2326326118,653543.2326326118
PMTS,125800,30318.155159318147,758257.0674738218,632457.0674738218
ANF,125800,5099.480365797419,711275.4996340934,585475.4996340934
STRL,125800,5362.596173818,674668.2115357668,548868.2115357668
TGLS,125800,9843.043090814268,638616.6086973044,512816.6086973044
VRT,125800,7095.7415518230155,628115.0183474402,502315.0183474402
OBE,125800,104580.52987467681,613887.6983960611,488087.6983960611
BBW,125800,19512.292616447303,610344.5264404997,484544.5264404997
POWL,125800,3592.7055918831966,606017.5529250959,480217.5529250959
MSTR,125800,4581.519602659262,600179.0679483634,474379.0679483634
PR,125800,44558.006684502245,597077.2725747995,471277.2725747995
INOD,125800,36997.10372141049,584184.266349744,458384.26634974405
CELH,125800,17473.79132860844,579955.1101999135,454155.1101999135
HOV,125800,2823.8920295345274,577796.5498866265,451996.54988662654
BELFA,125800,6494.2992246752065,576693.7909701867,450893.7909701867
GME,125800,27839.157398107047,570424.3287153359,444624.3287153359
TDW,125800,7958.846937011919,568898.4057749326,443098.4057749326
MARA,125800,35808.63696005715,567566.9094768168,441766.90947681677
DAC,125800,7022.166457992237,556787.5848831899,430987.5848831899
CLS,125800,12075.799913672105,553192.4106289067,427392.4106289067
TAYD,125800,9604.332374722588,550712.419832098,424912.41983209795
