ticker,total_investment,quantity,total_value,total_pnl
VDE,125800,1724.6982669541376,214552.46704077543,88752.46704077543
VGT,125800,359.9264780448532,208181.4836884106,82381.4836884106
MGK,125800,627.1341457268588,200657.83590795347,74857.83590795347
VGT.MX,126000,17.916341322218884,199762.18426817076,73762.18426817076
VONG,125800,2068.9276474722897,198927.3964613937,73127.39646139371
VUG,125800,511.714518939534,195341.89546276562,69541.89546276562
MGC,125800,932.7217008874815,191870.18735173345,66070.18735173345
VOOG,125800,553.3077503819472,189707.08719086045,63907.087190860446
VUG.MX,126000,25.75326024368718,189028.9301886639,63028.930188663886
VOO,125800,359.06668925051974,188510.01185652288,62710.01185652288
VIS,125800,730.4286744657493,187734.7698864578,61934.7698864578
VV,125800,714.3439839248023,187129.54392492768,61329.54392492768
VFMO,125800,1151.7848989624297,185817.45985858992,60017.45985858992
VONE,125800,717.1097569903043,185509.12478657806,59709.12478657806
VFMF,125800,1416.646944935563,184645.75761498522,58845.757614985225
VFH,125800,1660.9291495038715,184213.6580539786,58413.65805397861
ESGV,125800,1822.5839435691737,184172.1130597498,58372.1130597498
VTI,125800,652.2185892191332,184056.09383929207,58256.093839292065
VTHR,125800,726.9719918991111,183923.9139504751,58123.91395047511
VOOV,125800,964.1666728542255,183336.2869584246,57536.28695842461
VFVA,125800,1509.3410129160966,181739.75689259908,55939.75689259908
VDE.MX,126000,77.33479239860286,181736.76213671672,55736.762136716716
MGV,125800,1400.9015833541484,179413.47604067542,53613.47604067542
VOO.MX,126000,17.576715021200258,178890.175444246,52890.17544424601
VTV,125800,1023.117692817202,178175.93995950092,52375.939959500916
VIS.MX,126000,35.90291965036649,178354.57281424242,52354.57281424242
VFQY,125800,1251.291978659467,178021.31514997847,52221.31514997847
VIG,125800,893.2865708416987,176727.81190400853,50927.81190400853
VBR,125800,877.1899312591872,176016.93481883398,50216.93481883398
VTI.MX,126000,31.95213213299377,173979.3594641511,47979.359464151086
VYM,125800,1362.5772909523648,173483.3402682295,47683.34026822951
IVOV,125800,1817.977225773865,173016.88924808303,47216.889248083025
VOE,125800,1033.4806283003159,172467.25229704884,46667.252297048835
VT,125800,1449.491587459292,171344.39922651372,45544.39922651372
IVOO,125800,1620.31150891676,171315.54127704716,45515.54127704716
VOX,125800,1187.2552215258004,170952.8858692877,45152.88586928771
VONV,125800,2055.311661778138,170529.21108665748,44729.21108665748
VCR,125800,505.7763096347811,170527.54240867097,44727.54240867097
VAW,125800,811.6878970935994,168546.98687733617,42746.98687733617
IVOG,125800,1468.5650582926153,168238.8094926381,42438.8094926381
VFH.MX,126000,80.0462655678856,168097.15769255976,42097.15769255976
VFMV,125800,1376.9135933160583,167418.91876889134,41618.91876889134
VYMI,125800,2306.1599472220505,166527.80767755178,40727.807677551784
VCR.MX,126000,25.25076613723982,166023.78735235182,40023.78735235182
VPU,125800,952.992023909799,165591.8888396251,39791.88883962511
VO,125800,630.852074020303,165497.730788237,39697.73078823701
VTV.MX,126000,49.008380166826576,165599.316583707,39599.316583707
VOX.MX,126000,59.55728105732311,165206.5322631925,39206.532263192494
VTWV,125800,1107.3859986821715,164579.70171698614,38779.701716986136
VB,125800,694.3011576359277,164486.8897981344,38686.88979813439
VBR.MX,126000,42.19528456301253,164050.6203669942,38050.620366994204
VIOV,125800,1763.2913486853588,163845.02889116065,38045.02889116065
VIOG,125800,1359.6707923630597,163636.37778620125,37836.37778620125
VDC,125800,742.2633284799917,162340.4175553164,36540.41755531641
VGK,125800,2320.890830328218,162253.48644760178,36453.48644760178
VHT,125800,566.6708329310459,161875.19221029314,36075.19221029314
VXF,125800,883.9701781537769,161094.73012253753,35294.73012253753
VTWO,125800,1769.1999744023585,159281.0715357764,33481.0715357764
VT.MX,126000,69.99024552644758,159059.13823243594,33059.138232435944
VOT,125800,653.0919619587745,157878.45447145545,32078.45447145545
VIGI,125800,1803.9417311280868,157700.58283210138,31900.582832101383
VEA,125800,3027.562403155444,157614.90286599667,31814.90286599667
VGK.MX,126000,115.34107855553506,156748.52575697214,30748.525756972143
VHT.MX,126000,28.0733720224785,154965.01356408134,28965.01356408134
VEU,125800,2506.194672035973,154306.40519242492,28506.40519242492
VNQ,125800,1563.1445623822908,153907.21218105877,28107.21218105877
VXUS,125800,2427.5914230642215,153569.42934841107,27769.429348411068
VTWG,125800,735.2579829243025,152904.2550653624,27104.255065362406
VSGX,125800,2505.05627451438,150979.74281170545,25179.74281170545
VDC.MX,126000,35.67512709541696,150834.4373594229,24834.43735942291
VBK,125800,562.0410441242655,150312.25821276408,24512.258212764078
VPL,125800,1921.5587603162587,148767.07570520559,22967.075705205585
VSS,125800,1203.2888293590156,148642.26762186075,22842.267621860752
VEA.MX,126000,142.96967967151966,143688.82134883222,17688.82134883222
VWO,125800,3129.260421843099,142600.3964684155,16800.396468415507
VXUS.MX,126000,115.40486806309853,139706.82010832283,13706.820108322834
VNQ.MX,126000,73.15997285596313,139291.47104914463,13291.471049144631
VEU.MX,126000,119.01355154775018,138857.86997058033,12857.86997058033
VTIP,125800,2794.0910585095585,137720.7508320029,11920.750832002901
VPL.MX,126000,91.96856326588173,137493.00208249319,11493.002082493185
VWOB,125800,2062.434175669334,136347.5246123096,10547.524612309586
VCSH,125800,1708.489498235238,135773.66251031283,9973.662510312832
VCIT,125800,1598.98553038936,134026.9666692645,8226.966669264511
VUSB,87200,1887.577393302803,94227.8600174185,7027.860017418498
BSV,125800,1685.631704985245,132726.63684964037,6926.636849640374
VGSH,125800,2244.6422548333385,132546.1234353825,6746.123435382498
VTC,125800,1661.7299356424946,131974.58844600854,6174.588446008536
VWO.MX,126000,149.40406898158858,132073.1969797243,6073.196979724307
VTEB,125800,2571.873926428777,131242.72332616596,5442.723326165957
VCEB,100500,1630.00985334477,105918.04574217799,5418.0457421779865
VNQI,125800,2858.7649601181356,131217.31603155157,5417.316031551571
BIV,125800,1654.0249650715473,129659.01600242186,3859.016002421864
BNDX,125800,2571.0984727337604,128966.29900000693,3166.299000006926
BNDW,125800,1827.117582177179,128884.87591955431,3084.87591955431
VMBS,125800,2724.4846513013626,128759.14004754537,2959.14004754537
BND,125800,1711.8528844204616,128697.10037314634,2897.1003731463425
VGIT,125800,2116.0383718515577,128020.32149701923,2220.321497019235
VCLT,125800,1563.7558390046065,127336.63844736552,1536.6384473655198
VTES,38800,395.01952582759725,40047.07844344828,1247.0784434482775
VPLS,20000,263.9780343316589,20899.140494679217,899.1404946792172
VCRB,19500,257.09036848743517,20369.270758294784,869.2707582947842
VTWO.MX,126000,70.98831538178182,126713.43238008146,713.43238008146
VTEC,16400,165.2077101627243,16730.58425358778,330.5842535877782
VTEI,16400,165.5433998187052,16713.26149413697,313.2614941369684
VTIP.MX,126000,131.35046558942702,125439.69463790281,-560.3053620971914
BLV,125800,1607.371573727477,121051.14929316928,-4748.850706830723
BND.MX,126000,82.83461453846456,120441.52953892747,-5558.470461072531
VGSH.MX,126000,108.86200697756193,119923.4739118937,-6076.5260881063
BNDX.MX,126000,123.01019134143561,119688.91617521686,-6311.083824783142
VGLT,125800,1826.8040688709705,112713.81244307978,-13086.187556920224
EDV,125800,1285.9792618956842,102968.3591075377,-22831.640892462296
EDV.MX,126000,63.33349635847331,98783.15303821923,-27216.84696178077
